,TestName,Value,Weight,Capacity,Time to run,Optimal
0,00Uncorrelated/n00050/R01000/s078.kp,19828,11319,11330,3.1948089599609375e-05,True
1,00Uncorrelated/n00100/R01000/s039.kp,37693,22368,22372,2.0265579223632812e-05,True
2,00Uncorrelated/n00200/R10000/s026.kp,787777,486705,487058,2.3603439331054688e-05,True
3,00Uncorrelated/n00500/R10000/s051.kp,2055284,1191921,1191941,0.0008018016815185547,True
4,00Uncorrelated/n01000/R01000/s057.kp,405152,250062,250063,0.0005474090576171875,True
5,00Uncorrelated/n02000/R01000/s079.kp,804479,495902,495902,0.0003695487976074219,True
6,00Uncorrelated/n05000/R01000/s063.kp,2039050,1227511,1227511,0.0008955001831054688,True
7,00Uncorrelated/n10000/R10000/s085.kp,40607668,24620028,24620028,0.0021216869354248047,True
8,01WeaklyCorrelated/n00050/R01000/s036.kp,14831,13939,13946,8.797645568847656e-05,True
9,01WeaklyCorrelated/n00100/R01000/s012.kp,25488,22771,22786,7.963180541992188e-05,True
10,01WeaklyCorrelated/n00200/R01000/s023.kp,55008,49416,49421,0.0003917217254638672,True
11,01WeaklyCorrelated/n00500/R10000/s047.kp,1381105,1248732,1248756,0.001361846923828125,True
12,01WeaklyCorrelated/n01000/R01000/s067.kp,278025,252736,252738,0.006293773651123047,True
13,01WeaklyCorrelated/n02000/R01000/s069.kp,545606,494005,494005,0.0003314018249511719,True
14,01WeaklyCorrelated/n05000/R10000/s017.kp,13686980,12422196,12422197,0.009009838104248047,True
15,01WeaklyCorrelated/n10000/R10000/s043.kp,27419556,24786381,24786382,0.010511636734008789,True
16,02StronglyCorrelated/n00050/R10000/s031.kp,151048,115048,115048,0.0017368793487548828,True
17,02StronglyCorrelated/n00100/R10000/s032.kp,307479,234479,234485,0.00010132789611816406,True
18,02StronglyCorrelated/n00200/R10000/s083.kp,656267,518267,519834,2.9999117851257324,True
19,02StronglyCorrelated/n00500/R01000/s031.kp,157987,122687,122687,2.999908924102783,True
20,02StronglyCorrelated/n01000/R10000/s054.kp,3203462,2498462,2501724,2.999912738800049,True
21,02StronglyCorrelated/n02000/R01000/s048.kp,649173,509973,510246,2.999911069869995,True
22,02StronglyCorrelated/n05000/R01000/s047.kp,1594182,1242882,1243366,2.9999125003814697,True
23,02StronglyCorrelated/n10000/R10000/s052.kp,31665187,24626187,24628674,2.999912977218628,True
24,03InverseStronglyCorrelated/n00050/R10000/s069.kp,123510,139510,139510,0.0033354759216308594,True
25,03InverseStronglyCorrelated/n00100/R01000/s013.kp,26056,29256,29272,0.0013170242309570312,True
26,03InverseStronglyCorrelated/n00200/R01000/s034.kp,56277,62777,62779,8.368492126464844e-05,True
27,03InverseStronglyCorrelated/n00500/R01000/s045.kp,138066,154266,154266,0.5809080600738525,True
28,03InverseStronglyCorrelated/n01000/R10000/s065.kp,2646796,2961796,2966782,2.999910354614258,True
29,03InverseStronglyCorrelated/n02000/R01000/s075.kp,528752,591752,592333,2.9999070167541504,True
30,03InverseStronglyCorrelated/n05000/R01000/s065.kp,1343793,1502293,1502482,2.9999094009399414,True
31,03InverseStronglyCorrelated/n10000/R10000/s018.kp,26420810,29563810,29565486,2.999920129776001,True
32,04AlmostStronglyCorrelated/n00050/R10000/s029.kp,154959,120869,120877,0.0003173351287841797,True
33,04AlmostStronglyCorrelated/n00100/R01000/s027.kp,31795,24791,24793,0.00010251998901367188,True
34,04AlmostStronglyCorrelated/n00200/R01000/s091.kp,67105,53370,53370,2.9999122619628906,True
35,04AlmostStronglyCorrelated/n00500/R10000/s004.kp,1633232,1281224,1281236,0.0007996559143066406,True
36,04AlmostStronglyCorrelated/n01000/R01000/s044.kp,313583,242570,242570,2.999908685684204,True
37,04AlmostStronglyCorrelated/n02000/R10000/s043.kp,6309321,4904195,4906532,2.9999115467071533,True
38,04AlmostStronglyCorrelated/n05000/R10000/s033.kp,15918409,12402081,12403688,2.999912977218628,True
39,04AlmostStronglyCorrelated/n10000/R10000/s080.kp,31806148,24760279,24760281,2.999910593032837,True
40,05SubsetSum/n00050/R01000/s081.kp,12352,12352,12352,7.987022399902344e-05,True
41,05SubsetSum/n00100/R01000/s025.kp,23220,23220,23220,0.0001666545867919922,True
42,05SubsetSum/n00200/R01000/s033.kp,46832,46832,46832,0.0003924369812011719,True
43,05SubsetSum/n00500/R01000/s053.kp,123677,123677,123677,0.00018858909606933594,True
